iso3c,median_age,vax_day,vacc,excess_mort,uhc,gdp
MKD,39.91,2023-05-07,101.236305,7856.371646787512,74,17128.76
NOR,39.436,2022-11-13,222.57681,1264.2081251908762,87,67296.16
OMN,28.973,2022-10-25,150.27919,863.5979031324267,70,35336.895
PAK,20.148,2023-05-03,138.94612,NA,45,5376.967
PLW,37.484,NA,NA,NA,65,NA
PSE,19.605,2022-10-18,70.65744,NA,NA,5722.409
PAN,29.273,2023-05-12,202.0782,NA,78,33266.477
PNG,22.127,2023-05-01,7.2300525,NA,30,3752.945
PRY,26.045,2023-05-12,144.15503,4370.482981544959,72,13531.396
PER,29.096,2023-05-05,267.08426,NA,71,12743.942
PHL,24.866,2023-03-19,166.11964,2303.644076146017,58,8581.9375
POL,40.864,2023-05-05,151.08115,4151.364533205092,82,37706.605
PRT,45.806,2023-05-05,271.09616,2916.1803967640662,88,35767.723
PRI,45.197,NA,NA,3244.1798337445207,NA,34297.934
QAT,32.458,2023-05-07,263.06897,566.4618427575892,76,96557.81
ROU,42.391,2022-06-11,87.79508,5397.734599640002,78,32495.908
RUS,39.071,2023-05-06,128.23105,8887.44965407708,79,27450.45
RWA,19.22,2023-06-04,200.14656,NA,49,2364.802
KNA,34.971,2022-12-02,137.58961,5241.316180181624,79,28770.139
LCA,33.316,2022-12-02,68.78139,NA,77,15100.286
VCT,33.633,2023-04-21,71.9592,NA,69,14572.607
WSM,20.091,2023-04-17,210.47295,NA,55,5155.62
SMR,46.782,2022-05-22,203.25975,4107.460122109651,77,NA
STP,18.869,2023-05-07,116.13871,NA,59,3438.8599
SAU,28.731,2023-04-25,213.00351,NA,74,50188.297
SEN,18.888,2023-05-07,16.635468,NA,50,3564.6282
SRB,43.675,2022-06-23,125.67242,8310.076603115247,72,20885.889
SYC,33.388,2023-04-09,178.88507,-730.9822183207882,75,25205.736
SLE,19.04,2023-04-30,91.198296,NA,41,1634.7638
SGP,34.878,2023-08-29,270.8467,1181.7914780976585,89,108036.11
SVK,40.904,2023-12-23,131.95915,5162.897002978131,82,33176.184
SVN,43.497,2023-12-23,143.17119,2802.7246253352805,84,41015.227
SLB,20.03,2022-10-31,80.14032,NA,47,2247.785
SOM,15.371,2023-04-30,53.04969,NA,27,1448.5568
ZAF,27.919,2023-04-30,62.221874,4836.79339274539,71,13478.754
KOR,43.944,2022-12-12,250.36981,1417.7919518577653,89,45560.125
SSD,17.59,2023-05-07,39.13285,NA,34,NA
ESP,44.392,2023-04-26,221.20732,2783.6942981206644,85,40223.01
LKA,32.561,2022-10-30,175.68054,NA,67,12200.138
SDN,18.12,2023-04-02,45.76186,NA,44,3570.6074
SUR,27.865,2023-12-29,88.994225,NA,63,15047.614
SWE,39.728,2023-05-08,249.2067,1487.5395649550496,85,55359.344
CHE,41.961,2023-05-05,192.66025,2051.257218402355,86,72278.21
SYR,21.588,2023-04-18,22.663126,NA,64,NA
TWN,42.917,2023-04-27,289.97873,1190.8898622159702,NA,NA
TJK,21.742,2023-06-04,201.58438,NA,67,4137.278
TZA,17.124,2023-03-12,60.873608,NA,43,2623.8616
THA,39.194,2022-09-30,198.83513,2388.1826020506546,82,17507.621
TGO,18.7,2023-05-28,37.469635,NA,44,2202.7268
TON,20.726,2023-04-11,193.43379,NA,57,NA
TTO,36.226,2022-09-21,105.68051,NA,75,23295.547
TUN,31.744,2023-05-03,109.3199,2181.4519612669983,67,10569.051
TUR,32.072,2022-11-22,175.21942,3200.1453700973443,76,33149.5
TKM,25.931,2023-02-05,180.36179,NA,75,14740.01
TUV,24.256,2023-02-01,267.509,NA,52,4591.3306
UGA,16.338,2023-05-28,55.81361,NA,49,2280.0737
UKR,41.451,2023-12-23,87.056175,NA,76,10731.44
ARE,30.903,2022-06-20,243.3299,NA,82,74917.67
GBR,39.504,2022-09-04,221.83975,3065.7047907384976,88,47587.168
USA,37.72,2023-05-05,198.10597,3825.1973909138987,86,64623.125
URY,35.496,2023-08-12,260.96063,2146.069335038401,82,24426.66
UZB,26.836,2023-04-16,216.97191,1487.69171063884,75,8073.2104
VUT,20.121,2023-02-20,117.11354,NA,47,2785.9038
VEN,28.81,2022-12-07,134.1969,NA,75,NA
VNM,31.938,2023-05-04,267.11963,NA,68,11396.531
ESH,31.698,NA,NA,NA,NA,NA
YEM,18.118,2023-04-18,3.336661,NA,42,NA
ZMB,17.288,2023-05-22,66.76057,NA,56,3365.8738
ZWE,17.683,2022-10-09,76.063896,NA,55,2207.957
AIA,NA,2023-03-10,173.24321,NA,NA,NA
ABW,NA,2023-05-05,162.05191,NA,NA,41273.613
BMU,NA,2023-12-29,211.13907,NA,NA,81165.65
BES,NA,2021-09-01,125.09597,NA,NA,NA
VGB,NA,2022-09-16,108.10818,NA,NA,NA
CYM,NA,2023-04-21,212.01524,NA,NA,71353.89
