Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Sierra Leone,SLE,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,76345857937.139
Singapore,SGP,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,2762544803673.09
Slovak Republic,SVK,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,804289802092.034
Slovenia,SVN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,501971232113.466
Solomon Islands,SLB,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,26194032862.0796
South Africa,ZAF,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,2578943969609.74
Spain,ESP,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,10711714150741.4
Sri Lanka,LKA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,436209944107.529
St. Lucia,LCA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,14535643793.3598
Sudan,SDN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,394800238126.379
Suriname,SUR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,45526391570.6012
Sweden,SWE,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,6984321766378.13
Switzerland,CHE,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,10105002082620.8
Tajikistan,TJK,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,128230122701.721
Tanzania,TZA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,808562314702.682
Thailand,THA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,4507800015367.4
Togo,TGO,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,153539628786.943
Trinidad and Tobago,TTO,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,110046119807.344
Tunisia,TUN,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,327475875839.939
Turkiye,TUR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,4276245528106.27
Uganda,UGA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,488506778355.996
Ukraine,UKR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,1291359914731.29
United Arab Emirates,ARE,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,3110294166908.04
United Kingdom,GBR,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,26463292438809.3
United States,USA,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,261423694588133
Uruguay,URY,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,562959918165.531
Viet Nam,VNM,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,3333092318897.75
Zambia,ZMB,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,331401140686.221
Zimbabwe,ZWE,Domestic comprehensive wealth index (current US$),NW.DOW.TO.CD,256885072695.369
,,,,
,,,,
,,,,
Data from database: Wealth Accounts,,,,
Last Updated: 10/08/2024,,,,
