iso3c,Entity,Day_max,vacc_per_100_max,Day_near,vacc_per_100_near,same_day,delta_value,delta_abs,day_diff
RWA,Rwanda,2023-06-04,200.14656,2023-06-04,200.14656,TRUE,0,0,0
SHN,Saint Helena,2021-05-05,146.99199,2021-05-05,146.99199,TRUE,0,0,0
KNA,Saint Kitts and Nevis,2022-12-02,137.58961,2022-12-02,137.58961,TRUE,0,0,0
LCA,Saint Lucia,2022-12-02,68.78139,2022-12-02,68.78139,TRUE,0,0,0
VCT,Saint Vincent and the Grenadines,2023-04-21,71.9592,2023-04-21,71.9592,TRUE,0,0,0
WSM,Samoa,2023-04-17,210.47295,2023-04-17,210.47295,TRUE,0,0,0
SMR,San Marino,2022-05-22,203.25975,2022-05-22,203.25975,TRUE,0,0,0
SAU,Saudi Arabia,2023-04-25,213.00351,2023-04-25,213.00351,TRUE,0,0,0
SRB,Serbia,2022-06-23,125.67242,2022-06-23,125.67242,TRUE,0,0,0
SYC,Seychelles,2023-04-09,178.88507,2023-04-09,178.88507,TRUE,0,0,0
SGP,Singapore,2023-08-29,270.8467,2023-08-29,270.8467,TRUE,0,0,0
SXM,Sint Maarten (Dutch part),2023-03-31,158.50153,2023-03-31,158.50153,TRUE,0,0,0
SVK,Slovakia,2023-12-23,131.95915,2023-12-23,131.95915,TRUE,0,0,0
SVN,Slovenia,2023-12-23,143.17119,2023-12-23,143.17119,TRUE,0,0,0
SLB,Solomon Islands,2022-10-31,80.14032,2022-10-31,80.14032,TRUE,0,0,0
KOR,South Korea,2022-12-12,250.36981,2022-12-12,250.36981,TRUE,0,0,0
LKA,Sri Lanka,2022-10-30,175.68054,2022-10-30,175.68054,TRUE,0,0,0
SUR,Suriname,2023-12-29,88.994225,2023-12-29,88.994225,TRUE,0,0,0
SYR,Syria,2023-04-18,22.663126,2023-04-18,22.663126,TRUE,0,0,0
TZA,Tanzania,2023-03-12,60.873608,2023-03-12,60.873608,TRUE,0,0,0
THA,Thailand,2022-09-30,198.83513,2022-09-30,198.83513,TRUE,0,0,0
TKL,Tokelau,2022-12-05,232.43945,2022-12-05,232.43945,TRUE,0,0,0
TUR,Turkey,2022-11-22,175.21942,2022-11-22,175.21942,TRUE,0,0,0
TCA,Turks and Caicos Islands,2023-01-06,161.12625,2023-01-06,161.12625,TRUE,0,0,0
TUV,Tuvalu,2023-02-01,267.509,2023-02-01,267.509,TRUE,0,0,0
UGA,Uganda,2023-05-28,55.81361,2023-05-28,55.81361,TRUE,0,0,0
UKR,Ukraine,2023-12-23,87.056175,2023-12-23,87.056175,TRUE,0,0,0
ARE,United Arab Emirates,2022-06-20,243.3299,2022-06-20,243.3299,TRUE,0,0,0
GBR,United Kingdom,2022-09-04,221.83975,2022-09-04,221.83975,TRUE,0,0,0
VUT,Vanuatu,2023-02-20,117.11354,2023-02-20,117.11354,TRUE,0,0,0
VEN,Venezuela,2022-12-07,134.1969,2022-12-07,134.1969,TRUE,0,0,0
WLF,Wallis and Futuna,2023-01-23,157.01244,2023-01-23,157.01244,TRUE,0,0,0
